filepath,filename,pred_top1_id,pred_top1_name,pred_top1_prob,pred_top2_id,pred_top2_name,pred_top2_prob,pred_top3_id,pred_top3_name,pred_top3_prob,pred_top4_id,pred_top4_name,pred_top4_prob,pred_top5_id,pred_top5_name,pred_top5_prob
todas_imagens\ABBOTTS_BABBLER__train__006.jpg,ABBOTTS_BABBLER__train__006.jpg,195,196.House_Wren,36.65,25,026.Bronzed_Cowbird,10.75,194,195.Carolina_Wren,6.83,177,178.Swainson_Warbler,5.69,196,197.Marsh_Wren,3.66
todas_imagens\ABBOTTS_BABBLER__train__007.jpg,ABBOTTS_BABBLER__train__007.jpg,192,193.Bewick_Wren,13.65,177,178.Swainson_Warbler,9.5,127,128.Seaside_Sparrow,5.93,30,031.Black_billed_Cuckoo,5.02,193,194.Cactus_Wren,3.65
todas_imagens\ABBOTTS_BABBLER__train__008.jpg,ABBOTTS_BABBLER__train__008.jpg,177,178.Swainson_Warbler,24.67,192,193.Bewick_Wren,14.74,30,031.Black_billed_Cuckoo,13.81,127,128.Seaside_Sparrow,4.22,195,196.House_Wren,2.65
todas_imagens\ABBOTTS_BABBLER__train__009.jpg,ABBOTTS_BABBLER__train__009.jpg,127,128.Seaside_Sparrow,21.46,177,178.Swainson_Warbler,13.29,27,028.Brown_Creeper,5.61,173,174.Palm_Warbler,4.45,195,196.House_Wren,2.69
todas_imagens\ABBOTTS_BABBLER__train__010.jpg,ABBOTTS_BABBLER__train__010.jpg,177,178.Swainson_Warbler,28.98,194,195.Carolina_Wren,13.95,31,032.Mangrove_Cuckoo,13.14,180,181.Worm_eating_Warbler,3.47,127,128.Seaside_Sparrow,1.59
todas_imagens\ABBOTTS_BABBLER__train__011.jpg,ABBOTTS_BABBLER__train__011.jpg,152,153.Philadelphia_Vireo,18.55,27,028.Brown_Creeper,7.59,42,043.Yellow_bellied_Flycatcher,3.86,26,027.Shiny_Cowbird,2.72,194,195.Carolina_Wren,2.71
todas_imagens\ABBOTTS_BABBLER__train__012.jpg,ABBOTTS_BABBLER__train__012.jpg,127,128.Seaside_Sparrow,14.76,180,181.Worm_eating_Warbler,13.75,177,178.Swainson_Warbler,4.95,193,194.Cactus_Wren,3.04,25,026.Bronzed_Cowbird,2.89
todas_imagens\ABBOTTS_BABBLER__train__013.jpg,ABBOTTS_BABBLER__train__013.jpg,194,195.Carolina_Wren,60.6,17,018.Spotted_Catbird,2.58,195,196.House_Wren,1.71,118,119.Field_Sparrow,1.1,27,028.Brown_Creeper,1.06
todas_imagens\ABBOTTS_BABBLER__train__014.jpg,ABBOTTS_BABBLER__train__014.jpg,195,196.House_Wren,37.55,192,193.Bewick_Wren,5.87,127,128.Seaside_Sparrow,5.41,27,028.Brown_Creeper,3.2,169,170.Mourning_Warbler,2.9
todas_imagens\ABBOTTS_BABBLER__train__015.jpg,ABBOTTS_BABBLER__train__015.jpg,177,178.Swainson_Warbler,18.91,195,196.House_Wren,15.01,180,181.Worm_eating_Warbler,9.98,169,170.Mourning_Warbler,6.45,194,195.Carolina_Wren,4.44
todas_imagens\ABBOTTS_BABBLER__train__016.jpg,ABBOTTS_BABBLER__train__016.jpg,177,178.Swainson_Warbler,9.39,192,193.Bewick_Wren,4.84,169,170.Mourning_Warbler,4.25,127,128.Seaside_Sparrow,3.91,195,196.House_Wren,2.94
todas_imagens\ABBOTTS_BABBLER__train__017.jpg,ABBOTTS_BABBLER__train__017.jpg,177,178.Swainson_Warbler,44.14,180,181.Worm_eating_Warbler,6.7,169,170.Mourning_Warbler,4.55,18,019.Gray_Catbird,2.47,195,196.House_Wren,2.04
todas_imagens\ABBOTTS_BABBLER__train__018.jpg,ABBOTTS_BABBLER__train__018.jpg,195,196.House_Wren,17.0,169,170.Mourning_Warbler,10.47,177,178.Swainson_Warbler,3.08,16,017.Cardinal,2.37,194,195.Carolina_Wren,2.37
todas_imagens\ABBOTTS_BABBLER__train__019.jpg,ABBOTTS_BABBLER__train__019.jpg,195,196.House_Wren,11.29,177,178.Swainson_Warbler,5.57,192,193.Bewick_Wren,3.68,194,195.Carolina_Wren,3.11,27,028.Brown_Creeper,3.07
todas_imagens\ABBOTTS_BABBLER__train__020.jpg,ABBOTTS_BABBLER__train__020.jpg,192,193.Bewick_Wren,37.92,195,196.House_Wren,7.97,177,178.Swainson_Warbler,5.58,30,031.Black_billed_Cuckoo,5.35,127,128.Seaside_Sparrow,4.6
todas_imagens\ABBOTTS_BABBLER__train__021.jpg,ABBOTTS_BABBLER__train__021.jpg,101,102.Western_Wood_Pewee,61.16,38,039.Least_Flycatcher,15.94,177,178.Swainson_Warbler,5.06,195,196.House_Wren,3.47,4,005.Crested_Auklet,0.89
todas_imagens\ABBOTTS_BABBLER__train__022.jpg,ABBOTTS_BABBLER__train__022.jpg,194,195.Carolina_Wren,7.45,127,128.Seaside_Sparrow,5.57,180,181.Worm_eating_Warbler,4.4,193,194.Cactus_Wren,3.94,169,170.Mourning_Warbler,3.56
todas_imagens\ABBOTTS_BABBLER__train__023.jpg,ABBOTTS_BABBLER__train__023.jpg,180,181.Worm_eating_Warbler,7.06,127,128.Seaside_Sparrow,6.53,195,196.House_Wren,4.08,177,178.Swainson_Warbler,2.98,173,174.Palm_Warbler,2.83
todas_imagens\ABBOTTS_BABBLER__train__024.jpg,ABBOTTS_BABBLER__train__024.jpg,177,178.Swainson_Warbler,11.37,192,193.Bewick_Wren,5.08,20,021.Eastern_Towhee,4.98,194,195.Carolina_Wren,4.58,147,148.Green_tailed_Towhee,4.41
todas_imagens\ABBOTTS_BABBLER__train__025.jpg,ABBOTTS_BABBLER__train__025.jpg,195,196.House_Wren,41.57,194,195.Carolina_Wren,18.98,27,028.Brown_Creeper,2.08,177,178.Swainson_Warbler,2.07,169,170.Mourning_Warbler,1.99
todas_imagens\ABBOTTS_BABBLER__train__026.jpg,ABBOTTS_BABBLER__train__026.jpg,127,128.Seaside_Sparrow,14.89,169,170.Mourning_Warbler,6.34,17,018.Spotted_Catbird,5.34,30,031.Black_billed_Cuckoo,3.97,177,178.Swainson_Warbler,3.67
todas_imagens\ABBOTTS_BABBLER__train__027.jpg,ABBOTTS_BABBLER__train__027.jpg,169,170.Mourning_Warbler,36.87,17,018.Spotted_Catbird,3.65,194,195.Carolina_Wren,3.65,106,107.Common_Raven,3.57,167,168.Kentucky_Warbler,2.47
todas_imagens\ABBOTTS_BABBLER__train__028.jpg,ABBOTTS_BABBLER__train__028.jpg,127,128.Seaside_Sparrow,10.15,16,017.Cardinal,8.38,195,196.House_Wren,5.36,180,181.Worm_eating_Warbler,4.77,68,069.Rufous_Hummingbird,3.75
todas_imagens\ABBOTTS_BABBLER__train__029.jpg,ABBOTTS_BABBLER__train__029.jpg,192,193.Bewick_Wren,8.26,169,170.Mourning_Warbler,5.94,127,128.Seaside_Sparrow,4.26,167,168.Kentucky_Warbler,4.02,193,194.Cactus_Wren,3.9
todas_imagens\ABBOTTS_BABBLER__train__030.jpg,ABBOTTS_BABBLER__train__030.jpg,194,195.Carolina_Wren,14.97,193,194.Cactus_Wren,5.53,169,170.Mourning_Warbler,4.15,25,026.Bronzed_Cowbird,2.94,195,196.House_Wren,2.8
todas_imagens\ABBOTTS_BABBLER__train__031.jpg,ABBOTTS_BABBLER__train__031.jpg,127,128.Seaside_Sparrow,10.05,180,181.Worm_eating_Warbler,7.57,169,170.Mourning_Warbler,7.3,195,196.House_Wren,4.59,17,018.Spotted_Catbird,3.96
todas_imagens\ABBOTTS_BABBLER__train__032.jpg,ABBOTTS_BABBLER__train__032.jpg,177,178.Swainson_Warbler,14.85,169,170.Mourning_Warbler,10.2,180,181.Worm_eating_Warbler,8.5,167,168.Kentucky_Warbler,5.77,194,195.Carolina_Wren,3.96
todas_imagens\ABBOTTS_BABBLER__train__033.jpg,ABBOTTS_BABBLER__train__033.jpg,180,181.Worm_eating_Warbler,9.92,169,170.Mourning_Warbler,9.14,147,148.Green_tailed_Towhee,6.22,127,128.Seaside_Sparrow,4.59,172,173.Orange_crowned_Warbler,4.16
todas_imagens\ABBOTTS_BABBLER__train__034.jpg,ABBOTTS_BABBLER__train__034.jpg,194,195.Carolina_Wren,6.05,180,181.Worm_eating_Warbler,4.96,19,020.Yellow_breasted_Chat,4.01,177,178.Swainson_Warbler,3.83,20,021.Eastern_Towhee,3.4
todas_imagens\ABBOTTS_BABBLER__train__035.jpg,ABBOTTS_BABBLER__train__035.jpg,127,128.Seaside_Sparrow,17.67,194,195.Carolina_Wren,8.8,195,196.House_Wren,8.58,120,121.Grasshopper_Sparrow,5.58,177,178.Swainson_Warbler,4.18
todas_imagens\ABBOTTS_BABBLER__train__036.jpg,ABBOTTS_BABBLER__train__036.jpg,195,196.House_Wren,15.0,169,170.Mourning_Warbler,9.73,180,181.Worm_eating_Warbler,9.43,25,026.Bronzed_Cowbird,4.39,127,128.Seaside_Sparrow,4.11
todas_imagens\ABBOTTS_BABBLER__train__037.jpg,ABBOTTS_BABBLER__train__037.jpg,169,170.Mourning_Warbler,22.52,195,196.House_Wren,8.1,180,181.Worm_eating_Warbler,6.51,193,194.Cactus_Wren,4.73,192,193.Bewick_Wren,3.95
todas_imagens\ABBOTTS_BABBLER__train__038.jpg,ABBOTTS_BABBLER__train__038.jpg,180,181.Worm_eating_Warbler,16.02,177,178.Swainson_Warbler,9.48,169,170.Mourning_Warbler,2.54,27,028.Brown_Creeper,2.47,127,128.Seaside_Sparrow,2.34
todas_imagens\ABBOTTS_BABBLER__train__039.jpg,ABBOTTS_BABBLER__train__039.jpg,127,128.Seaside_Sparrow,27.68,195,196.House_Wren,8.08,169,170.Mourning_Warbler,3.31,192,193.Bewick_Wren,3.0,129,130.Tree_Sparrow,2.84
todas_imagens\ABBOTTS_BABBLER__train__040.jpg,ABBOTTS_BABBLER__train__040.jpg,177,178.Swainson_Warbler,26.69,192,193.Bewick_Wren,23.42,197,198.Rock_Wren,3.6,127,128.Seaside_Sparrow,3.41,195,196.House_Wren,3.07
todas_imagens\ABBOTTS_BABBLER__train__041.jpg,ABBOTTS_BABBLER__train__041.jpg,127,128.Seaside_Sparrow,15.49,180,181.Worm_eating_Warbler,4.08,31,032.Mangrove_Cuckoo,4.07,193,194.Cactus_Wren,4.01,169,170.Mourning_Warbler,3.84
todas_imagens\ABBOTTS_BABBLER__train__042.jpg,ABBOTTS_BABBLER__train__042.jpg,177,178.Swainson_Warbler,27.76,169,170.Mourning_Warbler,10.68,195,196.House_Wren,7.49,180,181.Worm_eating_Warbler,5.16,192,193.Bewick_Wren,2.8
todas_imagens\ABBOTTS_BABBLER__train__043.jpg,ABBOTTS_BABBLER__train__043.jpg,195,196.House_Wren,13.08,177,178.Swainson_Warbler,9.48,169,170.Mourning_Warbler,8.79,180,181.Worm_eating_Warbler,4.35,194,195.Carolina_Wren,3.32
todas_imagens\ABBOTTS_BABBLER__train__044.jpg,ABBOTTS_BABBLER__train__044.jpg,177,178.Swainson_Warbler,22.09,195,196.House_Wren,13.06,30,031.Black_billed_Cuckoo,6.26,169,170.Mourning_Warbler,3.68,192,193.Bewick_Wren,3.16
todas_imagens\ABBOTTS_BABBLER__train__045.jpg,ABBOTTS_BABBLER__train__045.jpg,195,196.House_Wren,18.11,192,193.Bewick_Wren,11.38,197,198.Rock_Wren,6.35,194,195.Carolina_Wren,5.59,27,028.Brown_Creeper,5.56
todas_imagens\ABBOTTS_BABBLER__train__046.jpg,ABBOTTS_BABBLER__train__046.jpg,180,181.Worm_eating_Warbler,10.0,27,028.Brown_Creeper,7.29,127,128.Seaside_Sparrow,5.64,195,196.House_Wren,5.48,169,170.Mourning_Warbler,3.46
todas_imagens\ABBOTTS_BABBLER__train__047.jpg,ABBOTTS_BABBLER__train__047.jpg,194,195.Carolina_Wren,19.48,195,196.House_Wren,15.59,180,181.Worm_eating_Warbler,5.73,167,168.Kentucky_Warbler,4.8,169,170.Mourning_Warbler,4.32
todas_imagens\ABBOTTS_BABBLER__train__048.jpg,ABBOTTS_BABBLER__train__048.jpg,194,195.Carolina_Wren,18.48,195,196.House_Wren,13.72,169,170.Mourning_Warbler,10.69,177,178.Swainson_Warbler,6.8,192,193.Bewick_Wren,5.45
todas_imagens\ABBOTTS_BABBLER__train__049.jpg,ABBOTTS_BABBLER__train__049.jpg,194,195.Carolina_Wren,11.63,192,193.Bewick_Wren,7.3,195,196.House_Wren,5.76,180,181.Worm_eating_Warbler,5.65,177,178.Swainson_Warbler,5.58
todas_imagens\ABBOTTS_BABBLER__train__050.jpg,ABBOTTS_BABBLER__train__050.jpg,195,196.House_Wren,24.78,169,170.Mourning_Warbler,10.67,120,121.Grasshopper_Sparrow,7.24,177,178.Swainson_Warbler,6.79,180,181.Worm_eating_Warbler,4.38
todas_imagens\ABBOTTS_BABBLER__train__051.jpg,ABBOTTS_BABBLER__train__051.jpg,194,195.Carolina_Wren,38.63,195,196.House_Wren,10.06,177,178.Swainson_Warbler,7.52,180,181.Worm_eating_Warbler,3.79,120,121.Grasshopper_Sparrow,3.75
todas_imagens\ABBOTTS_BABBLER__train__052.jpg,ABBOTTS_BABBLER__train__052.jpg,180,181.Worm_eating_Warbler,6.95,127,128.Seaside_Sparrow,4.66,169,170.Mourning_Warbler,4.46,17,018.Spotted_Catbird,4.21,193,194.Cactus_Wren,3.82
todas_imagens\ABBOTTS_BABBLER__train__053.jpg,ABBOTTS_BABBLER__train__053.jpg,194,195.Carolina_Wren,14.72,195,196.House_Wren,7.53,177,178.Swainson_Warbler,4.28,169,170.Mourning_Warbler,3.4,120,121.Grasshopper_Sparrow,2.97
todas_imagens\ABBOTTS_BABBLER__train__054.jpg,ABBOTTS_BABBLER__train__054.jpg,195,196.House_Wren,16.68,194,195.Carolina_Wren,13.54,177,178.Swainson_Warbler,9.81,120,121.Grasshopper_Sparrow,5.18,180,181.Worm_eating_Warbler,4.67
todas_imagens\ABBOTTS_BABBLER__train__055.jpg,ABBOTTS_BABBLER__train__055.jpg,177,178.Swainson_Warbler,54.43,30,031.Black_billed_Cuckoo,13.11,192,193.Bewick_Wren,5.74,195,196.House_Wren,3.02,127,128.Seaside_Sparrow,1.63
todas_imagens\ABBOTTS_BABBLER__train__056.jpg,ABBOTTS_BABBLER__train__056.jpg,30,031.Black_billed_Cuckoo,13.86,177,178.Swainson_Warbler,10.52,127,128.Seaside_Sparrow,7.18,26,027.Shiny_Cowbird,5.08,192,193.Bewick_Wren,2.7
todas_imagens\ABBOTTS_BABBLER__train__057.jpg,ABBOTTS_BABBLER__train__057.jpg,98,099.Ovenbird,10.63,127,128.Seaside_Sparrow,9.01,183,184.Louisiana_Waterthrush,7.06,192,193.Bewick_Wren,3.94,126,127.Savannah_Sparrow,2.79
todas_imagens\ABBOTTS_BABBLER__train__058.jpg,ABBOTTS_BABBLER__train__058.jpg,177,178.Swainson_Warbler,18.76,30,031.Black_billed_Cuckoo,5.32,180,181.Worm_eating_Warbler,4.2,127,128.Seaside_Sparrow,3.77,122,123.Henslow_Sparrow,3.03
todas_imagens\ABBOTTS_BABBLER__train__059.jpg,ABBOTTS_BABBLER__train__059.jpg,101,102.Western_Wood_Pewee,44.39,39,040.Olive_sided_Flycatcher,23.37,36,037.Acadian_Flycatcher,2.41,4,005.Crested_Auklet,1.47,69,070.Green_Violetear,1.12
todas_imagens\ABBOTTS_BABBLER__train__060.jpg,ABBOTTS_BABBLER__train__060.jpg,172,173.Orange_crowned_Warbler,14.37,169,170.Mourning_Warbler,6.7,177,178.Swainson_Warbler,6.44,173,174.Palm_Warbler,5.22,127,128.Seaside_Sparrow,4.71
todas_imagens\ABBOTTS_BABBLER__train__061.jpg,ABBOTTS_BABBLER__train__061.jpg,192,193.Bewick_Wren,7.91,169,170.Mourning_Warbler,7.41,177,178.Swainson_Warbler,6.6,20,021.Eastern_Towhee,3.63,183,184.Louisiana_Waterthrush,3.26
todas_imagens\ABBOTTS_BABBLER__train__062.jpg,ABBOTTS_BABBLER__train__062.jpg,127,128.Seaside_Sparrow,11.27,197,198.Rock_Wren,5.16,177,178.Swainson_Warbler,3.51,167,168.Kentucky_Warbler,3.38,183,184.Louisiana_Waterthrush,2.43
todas_imagens\ABBOTTS_BABBLER__train__063.jpg,ABBOTTS_BABBLER__train__063.jpg,120,121.Grasshopper_Sparrow,27.45,194,195.Carolina_Wren,16.21,195,196.House_Wren,13.26,180,181.Worm_eating_Warbler,3.89,177,178.Swainson_Warbler,3.88
todas_imagens\ABBOTTS_BABBLER__train__064.jpg,ABBOTTS_BABBLER__train__064.jpg,195,196.House_Wren,16.69,20,021.Eastern_Towhee,10.8,127,128.Seaside_Sparrow,3.65,147,148.Green_tailed_Towhee,3.59,194,195.Carolina_Wren,1.51
todas_imagens\ABBOTTS_BABBLER__train__065.jpg,ABBOTTS_BABBLER__train__065.jpg,177,178.Swainson_Warbler,12.56,192,193.Bewick_Wren,7.64,195,196.House_Wren,7.09,169,170.Mourning_Warbler,6.81,183,184.Louisiana_Waterthrush,3.2
todas_imagens\ABBOTTS_BABBLER__train__066.jpg,ABBOTTS_BABBLER__train__066.jpg,177,178.Swainson_Warbler,9.08,195,196.House_Wren,6.93,194,195.Carolina_Wren,6.32,169,170.Mourning_Warbler,6.17,193,194.Cactus_Wren,2.79
todas_imagens\ABBOTTS_BABBLER__train__067.jpg,ABBOTTS_BABBLER__train__067.jpg,194,195.Carolina_Wren,10.7,177,178.Swainson_Warbler,10.45,127,128.Seaside_Sparrow,6.66,195,196.House_Wren,5.23,169,170.Mourning_Warbler,4.42
todas_imagens\ABBOTTS_BABBLER__train__068.jpg,ABBOTTS_BABBLER__train__068.jpg,194,195.Carolina_Wren,39.93,192,193.Bewick_Wren,4.34,127,128.Seaside_Sparrow,3.17,196,197.Marsh_Wren,2.96,31,032.Mangrove_Cuckoo,2.77
todas_imagens\ABBOTTS_BABBLER__train__069.jpg,ABBOTTS_BABBLER__train__069.jpg,194,195.Carolina_Wren,33.59,180,181.Worm_eating_Warbler,5.3,27,028.Brown_Creeper,5.06,192,193.Bewick_Wren,4.55,31,032.Mangrove_Cuckoo,4.41
todas_imagens\ABBOTTS_BABBLER__train__070.jpg,ABBOTTS_BABBLER__train__070.jpg,169,170.Mourning_Warbler,36.45,42,043.Yellow_bellied_Flycatcher,8.51,152,153.Philadelphia_Vireo,3.7,195,196.House_Wren,3.16,102,103.Sayornis,2.8
todas_imagens\ABBOTTS_BABBLER__train__071.jpg,ABBOTTS_BABBLER__train__071.jpg,127,128.Seaside_Sparrow,11.93,120,121.Grasshopper_Sparrow,6.19,17,018.Spotted_Catbird,6.03,194,195.Carolina_Wren,5.35,195,196.House_Wren,4.08
todas_imagens\ABBOTTS_BABBLER__train__072.jpg,ABBOTTS_BABBLER__train__072.jpg,169,170.Mourning_Warbler,38.7,195,196.House_Wren,7.26,180,181.Worm_eating_Warbler,4.65,199,200.Common_Yellowthroat,3.11,177,178.Swainson_Warbler,2.1
todas_imagens\ABBOTTS_BABBLER__train__073.jpg,ABBOTTS_BABBLER__train__073.jpg,169,170.Mourning_Warbler,26.88,194,195.Carolina_Wren,4.56,159,160.Black_throated_Blue_Warbler,3.88,152,153.Philadelphia_Vireo,2.96,42,043.Yellow_bellied_Flycatcher,2.8
todas_imagens\ABBOTTS_BABBLER__train__074.jpg,ABBOTTS_BABBLER__train__074.jpg,195,196.House_Wren,21.78,194,195.Carolina_Wren,10.61,169,170.Mourning_Warbler,4.37,198,199.Winter_Wren,4.09,177,178.Swainson_Warbler,3.76
todas_imagens\ABBOTTS_BABBLER__train__075.jpg,ABBOTTS_BABBLER__train__075.jpg,127,128.Seaside_Sparrow,23.25,177,178.Swainson_Warbler,10.99,169,170.Mourning_Warbler,4.97,194,195.Carolina_Wren,4.56,106,107.Common_Raven,2.19
todas_imagens\ABBOTTS_BABBLER__train__076.jpg,ABBOTTS_BABBLER__train__076.jpg,148,149.Brown_Thrasher,15.96,127,128.Seaside_Sparrow,7.0,123,124.Le_Conte_Sparrow,6.53,98,099.Ovenbird,4.8,17,018.Spotted_Catbird,4.78
todas_imagens\ABBOTTS_BABBLER__train__077.jpg,ABBOTTS_BABBLER__train__077.jpg,17,018.Spotted_Catbird,21.9,177,178.Swainson_Warbler,14.55,167,168.Kentucky_Warbler,5.14,169,170.Mourning_Warbler,4.07,74,075.Green_Jay,3.0
todas_imagens\ABBOTTS_BABBLER__train__078.jpg,ABBOTTS_BABBLER__train__078.jpg,169,170.Mourning_Warbler,11.52,127,128.Seaside_Sparrow,5.47,195,196.House_Wren,3.78,177,178.Swainson_Warbler,3.53,20,021.Eastern_Towhee,2.26
todas_imagens\ABBOTTS_BABBLER__train__079.jpg,ABBOTTS_BABBLER__train__079.jpg,177,178.Swainson_Warbler,37.11,148,149.Brown_Thrasher,5.04,36,037.Acadian_Flycatcher,2.48,30,031.Black_billed_Cuckoo,2.24,159,160.Black_throated_Blue_Warbler,2.02
todas_imagens\ABBOTTS_BABBLER__train__080.jpg,ABBOTTS_BABBLER__train__080.jpg,195,196.House_Wren,12.4,169,170.Mourning_Warbler,11.57,31,032.Mangrove_Cuckoo,5.78,15,016.Painted_Bunting,3.65,25,026.Bronzed_Cowbird,2.04
todas_imagens\ABBOTTS_BABBLER__train__081.jpg,ABBOTTS_BABBLER__train__081.jpg,194,195.Carolina_Wren,31.1,180,181.Worm_eating_Warbler,8.82,192,193.Bewick_Wren,6.49,27,028.Brown_Creeper,2.47,183,184.Louisiana_Waterthrush,2.33
todas_imagens\ABBOTTS_BABBLER__train__082.jpg,ABBOTTS_BABBLER__train__082.jpg,177,178.Swainson_Warbler,17.65,192,193.Bewick_Wren,9.82,30,031.Black_billed_Cuckoo,8.73,127,128.Seaside_Sparrow,7.71,165,166.Golden_winged_Warbler,2.64
todas_imagens\ABBOTTS_BABBLER__train__083.jpg,ABBOTTS_BABBLER__train__083.jpg,177,178.Swainson_Warbler,20.59,30,031.Black_billed_Cuckoo,20.59,192,193.Bewick_Wren,8.59,196,197.Marsh_Wren,7.91,127,128.Seaside_Sparrow,6.8
todas_imagens\ABBOTTS_BABBLER__train__084.jpg,ABBOTTS_BABBLER__train__084.jpg,30,031.Black_billed_Cuckoo,13.74,194,195.Carolina_Wren,9.5,192,193.Bewick_Wren,6.09,31,032.Mangrove_Cuckoo,4.51,177,178.Swainson_Warbler,3.94
todas_imagens\ABBOTTS_BABBLER__train__085.jpg,ABBOTTS_BABBLER__train__085.jpg,127,128.Seaside_Sparrow,17.6,194,195.Carolina_Wren,6.6,183,184.Louisiana_Waterthrush,4.06,167,168.Kentucky_Warbler,3.95,192,193.Bewick_Wren,3.62
todas_imagens\ABBOTTS_BABBLER__train__086.jpg,ABBOTTS_BABBLER__train__086.jpg,195,196.House_Wren,18.78,192,193.Bewick_Wren,10.16,177,178.Swainson_Warbler,8.64,194,195.Carolina_Wren,3.5,27,028.Brown_Creeper,2.46
todas_imagens\ABBOTTS_BABBLER__train__087.jpg,ABBOTTS_BABBLER__train__087.jpg,173,174.Palm_Warbler,8.22,177,178.Swainson_Warbler,8.1,169,170.Mourning_Warbler,7.22,180,181.Worm_eating_Warbler,6.85,194,195.Carolina_Wren,5.74
todas_imagens\ABBOTTS_BABBLER__train__088.jpg,ABBOTTS_BABBLER__train__088.jpg,127,128.Seaside_Sparrow,7.78,26,027.Shiny_Cowbird,7.65,169,170.Mourning_Warbler,3.41,195,196.House_Wren,2.83,167,168.Kentucky_Warbler,2.68
todas_imagens\ABBOTTS_BABBLER__train__089.jpg,ABBOTTS_BABBLER__train__089.jpg,180,181.Worm_eating_Warbler,9.52,20,021.Eastern_Towhee,8.27,172,173.Orange_crowned_Warbler,6.73,31,032.Mangrove_Cuckoo,5.03,194,195.Carolina_Wren,4.07
todas_imagens\ABBOTTS_BABBLER__train__090.jpg,ABBOTTS_BABBLER__train__090.jpg,195,196.House_Wren,16.8,177,178.Swainson_Warbler,6.0,18,019.Gray_Catbird,4.56,180,181.Worm_eating_Warbler,4.18,20,021.Eastern_Towhee,3.61
todas_imagens\ABBOTTS_BABBLER__train__091.jpg,ABBOTTS_BABBLER__train__091.jpg,195,196.House_Wren,18.6,127,128.Seaside_Sparrow,15.35,180,181.Worm_eating_Warbler,7.1,147,148.Green_tailed_Towhee,4.44,172,173.Orange_crowned_Warbler,4.31
todas_imagens\ABBOTTS_BABBLER__train__092.jpg,ABBOTTS_BABBLER__train__092.jpg,127,128.Seaside_Sparrow,12.71,128,129.Song_Sparrow,12.62,198,199.Winter_Wren,9.23,119,120.Fox_Sparrow,7.75,149,150.Sage_Thrasher,3.93
